family,accession,trait,cpg,region_id,k_iv,method,beta,se,lo,hi,p,Qp,mean_F,p_bh
Eosinophil,GCST90002381,Eosinophil count,cg15445000,84604,15,ivw_re,0.012455556111545233,0.005315076355632963,0.002038006454504625,0.02287310576858584,0.019106897060854174,0.00071469750794112,410.97954938698894,0.1125772741523818
Eosinophil,GCST90002381,Eosinophil count,cg18129748,106528,5,ivw_re,-0.003119998081530498,0.041754001305495385,-0.08495784064030146,0.07871784447724045,0.9404348437040415,3.6065722763822805e-07,79.34125188419293,0.9972279397678887
Eosinophil,GCST90002381,Eosinophil count,cg19490609,12268,24,ivw_re,0.034591565944184555,0.010675302022579679,0.013667973979928385,0.05551515790844072,0.0011938890780114524,0.0,193.27971619765344,0.014857286304142521
Eosinophil,GCST90002381,Eosinophil count,cg24308560,106528,29,ivw_re,-0.01766188968203433,0.007646921135656633,-0.03264985510792133,-0.0026739242561473284,0.020906247305173566,0.0,576.5815219388185,0.1125772741523818
Eosinophil,GCST90002381,Eosinophil count,cg25753631,12268,29,ivw_re,0.0083084151649118,0.007692393029363533,-0.006768675172640723,0.023385505502464324,0.28010567142670323,0.0,333.18061369475754,0.5503830736805397
Eosinophil,GCST90002381,Eosinophil count,cg27360567,106528,20,ivw_re,-0.015239067254762493,0.010647045570249319,-0.03610727657245116,0.005629142062926173,0.15234557424917894,0.0,355.26006743156677,0.37917120702017876
Hematocrit,GCST90018960,Hematocrit,cg00387872,12268,58,ivw_re,-0.004879932203176296,0.00712152113972679,-0.018838113637040802,0.009078249230688212,0.49319416472772487,0.0,736.7876238675574,0.7275940929570954
Hematocrit,GCST90018960,Hematocrit,cg15445000,84604,15,ivw_re,-0.01040299784390392,0.006119617288564402,-0.02239744772949015,0.0015914520416823088,0.08914173150429117,5.074587194897617e-09,410.97954938698894,0.27732983134668365
Hematocrit,GCST90018960,Hematocrit,cg18129748,106528,4,ivw_re,0.007750409939583289,0.04399667938498563,-0.07848308165498855,0.09398390153415512,0.8601690499927258,1.0939229910800208e-08,93.81870373504762,0.9877702655223152
Hematocrit,GCST90018960,Hematocrit,cg19490609,12268,24,ivw_re,0.016724722771866606,0.01945060089372766,-0.021398454979839606,0.054847900523572815,0.3898682301907392,0.0,193.27971619765344,0.6421359085494528
Hematocrit,GCST90018960,Hematocrit,cg24308560,106528,29,ivw_re,-0.009033626512731449,0.0036803950446840784,-0.016247200800312243,-0.001820052225150655,0.014107033626855836,4.773959005888173e-15,576.5815219388185,0.0929404568357561
Hematocrit,GCST90018960,Hematocrit,cg25753631,12268,29,ivw_re,-0.01150991670090781,0.012697636711785755,-0.03639728465600789,0.01337745125419227,0.3646917221733066,0.0,333.18061369475754,0.6199442960148634
Hematocrit,GCST90018960,Hematocrit,cg27360567,106528,20,ivw_re,-0.014592955324546644,0.006328137142339977,-0.026996104123532996,-0.0021898065255602905,0.021108238903571587,1.887379141862766e-14,355.26006743156677,0.1125772741523818
Lymphocyte,GCST90018962,Lymphocyte count,cg00387872,12268,58,ivw_re,0.0008432248679988505,0.004933899614495953,-0.008827218376413218,0.010513668112410918,0.8642989823320257,0.0,736.7876238675574,0.9877702655223152
Lymphocyte,GCST90018962,Lymphocyte count,cg15445000,84604,15,ivw_re,-0.010576281797401594,0.011126495025072928,-0.032384212046544535,0.011231648451741344,0.34183322803687505,0.0,410.97954938698894,0.5982081490645313
Lymphocyte,GCST90018962,Lymphocyte count,cg18129748,106528,4,ivw_re,0.0836061210740338,0.041144668280413056,0.002962571244424214,0.1642496709036434,0.04215327425774265,3.866589127238251e-05,93.81870373504762,0.1703091038725646
Lymphocyte,GCST90018962,Lymphocyte count,cg19490609,12268,24,ivw_re,0.04103747391611853,0.01205050502120112,0.01741848407456434,0.06465646375767273,0.0006605347034181921,0.0,193.27971619765344,0.011618862883130696
Lymphocyte,GCST90018962,Lymphocyte count,cg24308560,106528,29,ivw_re,-0.015101007342113656,0.004932769846461107,-0.024769236241177425,-0.005432778443049888,0.0022033056565654288,0.0,576.5815219388185,0.023285681259935197
Lymphocyte,GCST90018962,Lymphocyte count,cg25753631,12268,29,ivw_re,0.0037917453270680237,0.008048187892590757,-0.011982702942409856,0.019566193596545906,0.6375476752514795,0.0,333.18061369475754,0.8671442020634345
Lymphocyte,GCST90018962,Lymphocyte count,cg27360567,106528,20,ivw_re,-0.016010172156203064,0.008269694181812868,-0.03221877275255629,0.0001984284401501564,0.052867046059523914,0.0,355.26006743156677,0.19737030528888927
MCH,GCST90018964,Mean corpuscular hemoglobin,cg00387872,12268,58,ivw_re,0.00563579218355973,0.016811428052329467,-0.027314606799006026,0.03858619116612549,0.737447234053817,0.0,736.7876238675574,0.9247574119068547
MCH,GCST90018964,Mean corpuscular hemoglobin,cg15445000,84604,15,ivw_re,0.015159681925402742,0.011332398146518274,-0.007051818441773074,0.03737118229257856,0.18098467059512338,0.0,410.97954938698894,0.41065591846226035
MCH,GCST90018964,Mean corpuscular hemoglobin,cg18129748,106528,4,ivw_re,0.09169367512802216,0.06718847210143798,-0.03999573019079629,0.22338308044684063,0.1723400253214597,6.457390178127298e-12,93.81870373504762,0.40212672575007263
MCH,GCST90018964,Mean corpuscular hemoglobin,cg19490609,12268,24,ivw_re,0.006611896365304798,0.0375471528789209,-0.06698052327738017,0.08020431600798976,0.8602186712463555,0.0,193.27971619765344,0.9877702655223152
MCH,GCST90018964,Mean corpuscular hemoglobin,cg24308560,106528,29,ivw_re,-0.0017378816633483675,0.00779017996661052,-0.017006634397904986,0.013530871071208251,0.8234684168089099,0.0,576.5815219388185,0.9801843002727477
MCH,GCST90018964,Mean corpuscular hemoglobin,cg25753631,12268,29,ivw_re,-0.0012945884330586403,0.028336545316795598,-0.05683421725397801,0.054245040387860724,0.9635603812323745,0.0,333.18061369475754,0.9972279397678887
MCH,GCST90018964,Mean corpuscular hemoglobin,cg27360567,106528,20,ivw_re,0.0028018274021566827,0.01316040587822645,-0.02299256811916716,0.028596222923480526,0.8314063261242056,0.0,355.26006743156677,0.9801843002727477
MCHC,GCST90018965,Mean corpuscular hemoglobin concentration,cg00387872,12268,58,ivw_re,-0.003952446740491979,0.009259669558177315,-0.022101399074519516,0.014196505593535559,0.6694919847684395,0.0,736.7876238675574,0.8821541446360615
MCHC,GCST90018965,Mean corpuscular hemoglobin concentration,cg15445000,84604,15,ivw_fe,-0.00399662067515307,0.0027843654884117113,-0.009453977032440025,0.0014607356821338844,0.15117903225064364,0.19499018449365352,410.97954938698894,0.37917120702017876
