set,go_id,term,n_term,n_hit,n_cand,n_univ,p,OR,p_bh
all,GO:0019787,ubiquitin-like protein transferase activity,457,5,155,35143,0.0524840349974514,2.52997811816189,0.197781942411448
all,GO:1901264,carbohydrate derivative transport,84,2,155,35143,0.0532674752100133,5.45580454403941,0.19840596958844
all,GO:0031110,regulation of microtubule polymerization or depolymerization,85,2,155,35143,0.0543972642479844,5.39146482122219,0.19840596958844
all,GO:0034243,regulation of transcription elongation by RNA polymerase II,85,2,155,35143,0.0543972642479844,5.39146482122219,0.19840596958844
all,GO:0071222,cellular response to lipopolysaccharide,194,3,155,35143,0.0548664552772503,3.55558193163309,0.19840596958844
all,GO:0016755,aminoacyltransferase activity,472,5,155,35143,0.0586546436035623,2.44851694915251,0.2023498655689
all,GO:0000245,spliceosomal complex assembly,89,2,155,35143,0.059000074153726,5.14856429463133,0.2023498655689
all,GO:0051262,protein tetramerization,89,2,155,35143,0.059000074153726,5.14856429463133,0.2023498655689
all,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,474,5,155,35143,0.0595075481435714,2.43804500703231,0.2023498655689
all,GO:0000151,ubiquitin ligase complex,332,4,155,35143,0.0599489425898729,2.77754727519343,0.2023498655689
all,GO:0031398,positive regulation of protein ubiquitination,90,2,155,35143,0.0601712175189015,5.09121278140849,0.2023498655689
all,GO:0046785,microtubule polymerization,90,2,155,35143,0.0601712175189015,5.09121278140849,0.2023498655689
all,GO:0014069,postsynaptic density,333,4,155,35143,0.0604788704353975,2.76912674263662,0.2023498655689
all,GO:0071219,cellular response to molecule of bacterial origin,206,3,155,35143,0.0633388241308733,3.34731093510465,0.209429253797129
all,GO:0002220,innate immune response activating cell surface receptor signaling pathway,94,2,155,35143,0.0649347686354228,4.874009178139,0.209429253797129
all,GO:0042274,ribosomal small subunit biogenesis,94,2,155,35143,0.0649347686354228,4.874009178139,0.209429253797129
all,GO:0046822,regulation of nucleocytoplasmic transport,94,2,155,35143,0.0649347686354228,4.874009178139,0.209429253797129
all,GO:0001818,negative regulation of cytokine production,343,4,155,35143,0.065915041727791,2.6876218794045,0.209556550268197
all,GO:0098685,Schaffer collateral - CA1 synapse,95,2,155,35143,0.0661449446377271,4.82256621946991,0.209556550268197
all,GO:0031123,RNA 3'-end processing,96,2,155,35143,0.0673626556984362,4.77219498910643,0.211542374912633
all,GO:0051656,establishment of organelle localization,347,4,155,35143,0.0681587567390372,2.65633528637131,0.21167618092639
all,GO:0032784,regulation of DNA-templated transcription elongation,97,2,155,35143,0.0685878128141377,4.7228623408123,0.21167618092639
all,GO:0032279,asymmetric synapse,350,4,155,35143,0.0698673055653927,2.63333964049191,0.213782011900945
all,GO:0010811,positive regulation of cell-substrate adhesion,102,2,155,35143,0.074822217944243,4.49070870178108,0.22700300020372
all,GO:0000287,magnesium ion binding,223,3,155,35143,0.0763062213534986,3.09063016285098,0.229559892811365
all,GO:1905368,peptidase complex,104,2,155,35143,0.0773650571023485,4.4040975364502,0.230055288466983
all,GO:0006090,pyruvate metabolic process,105,2,155,35143,0.0786466532754659,4.36202925614663,0.230055288466983
all,GO:1901796,regulation of signal transduction by p53 class mediator,105,2,155,35143,0.0786466532754659,4.36202925614663,0.230055288466983
all,GO:0099572,postsynaptic specialization,366,4,155,35143,0.0793479481242617,2.51706293200155,0.230055288466983
all,GO:0022626,cytosolic ribosome,106,2,155,35143,0.0799349223477305,4.32075471698087,0.230055288466983
all,GO:0071216,cellular response to biotic stimulus,228,3,155,35143,0.080326567202159,3.02242036011072,0.230055288466983
all,GO:0022618,protein-RNA complex assembly,238,3,155,35143,0.0886365346358327,2.89459862892517,0.243991686079181
all,GO:0002520,immune system development,113,2,155,35143,0.0891327596397007,4.05228758169911,0.243991686079181
all,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,113,2,155,35143,0.0891327596397007,4.05228758169911,0.243991686079181
all,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,113,2,155,35143,0.0891327596397007,4.05228758169911,0.243991686079181
all,GO:1990782,protein tyrosine kinase binding,113,2,155,35143,0.0891327596397007,4.05228758169911,0.243991686079181
all,GO:1901875,positive regulation of post-translational protein modification,114,2,155,35143,0.0904714776925675,4.01662653365417,0.243991686079181
all,GO:0120544,polypeptide conformation or assembly isomerase activity,114,2,155,35143,0.0904714776925675,4.01662653365417,0.243991686079181
all,GO:0098984,neuron to neuron synapse,384,4,155,35143,0.0907384506177208,2.39783388520967,0.243991686079181
all,GO:0003697,single-stranded DNA binding,115,2,155,35143,0.0918161437966685,3.98158567774913,0.243991686079181
all,GO:0032612,interleukin-1 production,116,2,155,35143,0.0931666802832088,3.94714897453212,0.243991686079181
all,GO:0032652,regulation of interleukin-1 production,116,2,155,35143,0.0931666802832088,3.94714897453212,0.243991686079181
all,GO:0007059,chromosome segregation,388,4,155,35143,0.0933711200917536,2.37284085478251,0.243991686079181
all,GO:0098839,postsynaptic density membrane,117,2,155,35143,0.0945230100447384,3.91330093290856,0.2452118666378
all,GO:0007338,single fertilization,118,2,155,35143,0.095885056531766,3.88002658690573,0.246538111922065
all,GO:0071826,protein-RNA complex organization,247,3,155,35143,0.0964115521482936,2.78840826763257,0.246538111922065
all,GO:0016853,isomerase activity,394,4,155,35143,0.0973877586218328,2.33630282045244,0.246909836775626
all,GO:0140694,membraneless organelle assembly,395,4,155,35143,0.0980650147623836,2.33032106630896,0.246909836775626
all,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",120,2,155,35143,0.0986259962539512,3.81514161220023,0.246909836775626
all,GO:0000209,protein polyubiquitination,252,3,155,35143,0.100847602144506,2.73269110275682,0.25071834422037
all,GO:0016323,basolateral plasma membrane,254,3,155,35143,0.102644716658218,2.71101844177366,0.253426265956151
all,GO:0005819,spindle,405,4,155,35143,0.104958535734105,2.27212819883898,0.257364080772668
all,GO:0031109,microtubule polymerization or depolymerization,126,2,155,35143,0.106978226082601,3.63284573088476,0.260532006378034
all,GO:0004713,protein tyrosine kinase activity,130,2,155,35143,0.112648401997986,3.52066365007524,0.272487350778912
all,GO:0000956,nuclear-transcribed mRNA catabolic process,131,2,155,35143,0.114078047733769,3.49368856957524,0.27409356435362
all,GO:0030856,regulation of epithelial cell differentiation,134,2,155,35143,0.118394921742954,3.41517900692599,0.280772312255712
all,GO:0008544,epidermis development,273,3,155,35143,0.120334575928402,2.52096587622897,0.280772312255712
all,GO:0007269,neurotransmitter secretion,136,2,155,35143,0.121295438985758,3.36476355247965,0.280772312255712
all,GO:0099643,signal release from synapse,136,2,155,35143,0.121295438985758,3.36476355247965,0.280772312255712
all,GO:0097193,intrinsic apoptotic signaling pathway,275,3,155,35143,0.122258858769363,2.50248803827745,0.280772312255712
all,GO:0031490,chromatin DNA binding,137,2,155,35143,0.122752276780647,3.34010781928327,0.280772312255712
all,GO:0070851,growth factor receptor binding,138,2,155,35143,0.124213412428431,3.3158094155535,0.280772312255712
all,GO:0045121,membrane raft,278,3,155,35143,0.125166447937825,2.4752697841726,0.280772312255712
all,GO:0006913,nucleocytoplasmic transport,280,3,155,35143,0.127118745761501,2.45744830827062,0.280772312255712
all,GO:0051169,nuclear transport,280,3,155,35143,0.127118745761501,2.45744830827062,0.280772312255712
all,GO:0098857,membrane microdomain,280,3,155,35143,0.127118745761501,2.45744830827062,0.280772312255712
all,GO:0015293,symporter activity,140,2,155,35143,0.127148315440374,3.26825396825382,0.280772312255712
all,GO:0032635,interleukin-6 production,141,2,155,35143,0.128621953100382,3.2449821536178,0.280772312255712
all,GO:0032675,regulation of interleukin-6 production,141,2,155,35143,0.128621953100382,3.2449821536178,0.280772312255712
all,GO:0042098,T cell proliferation,141,2,155,35143,0.128621953100382,3.2449821536178,0.280772312255712
all,GO:0002429,immune response-activating cell surface receptor signaling pathway,284,3,155,35143,0.131056080053889,2.42255837657519,0.281702566896906
all,GO:0009925,basal plasma membrane,285,3,155,35143,0.132047131386094,2.41398891966753,0.281702566896906
all,GO:0031023,microtubule organizing center organization,144,2,155,35143,0.133066842594772,3.17710602759608,0.281702566896906
all,GO:0099634,postsynaptic specialization membrane,144,2,155,35143,0.133066842594772,3.17710602759608,0.281702566896906
all,GO:0070507,regulation of microtubule cytoskeleton organization,145,2,155,35143,0.134556254020589,3.15510480054076,0.281702566896906
all,GO:0042581,specific granule,145,2,155,35143,0.134556254020589,3.15510480054076,0.281702566896906
all,GO:0019842,vitamin binding,145,2,155,35143,0.134556254020589,3.15510480054076,0.281702566896906
all,GO:0008277,regulation of G protein-coupled receptor signaling pathway,148,2,155,35143,0.139046961859751,3.09088500264957,0.287738799686653
all,GO:1902850,microtubule cytoskeleton organization involved in mitosis,148,2,155,35143,0.139046961859751,3.09088500264957,0.287738799686653
all,GO:0043065,positive regulation of apoptotic process,454,4,155,35143,0.141725799027674,2.02403944335849,0.29061188684125
