symbol,cohort,logFC,se,p
METTL13,GSE85307_blood,0.00292484330594147,0.0345828838897577,0.932706035108984
ZNF260,GSE85307_blood,-0.0185687921564898,0.0958704941754533,0.84666943996334
COA4,GSE85307_blood,0.039897480499945,0.0226083973868496,0.0795358171347283
FAM90A27P,GSE85307_blood,-0.0360928771057926,0.0312803404119458,0.250296783058898
THEM5,GSE85307_blood,-0.131495057322377,0.103296280248318,0.204884711532209
NOL11,GSE85307_blood,-0.0288145484039476,0.0480079213824986,0.549226922717469
PSMC6,GSE85307_blood,0.0119379645351067,0.0701113700255134,0.865013681790775
CMSS1,GSE85307_blood,-0.0330934921608006,0.0464584881240207,0.477310833089523
LOC105374010,GSE85307_blood,-0.0330934921608006,0.0464584881240207,0.477310833089523
HAUS2,GSE85307_blood,-0.0491866347263124,0.0436672495406207,0.261699247272369
SLC25A41,GSE85307_blood,-0.0173278739555738,0.0203584985270804,0.395976455553508
BCCIP,GSE85307_blood,-0.0186424920394486,0.0402967838218228,0.644263870053846
CCDC77,GSE85307_blood,0.022368630185168,0.0281236623045595,0.427588866358206
SEBOX,GSE85307_blood,-0.0255848062117326,0.0243052347443125,0.294104460893413
SRR,GSE85307_blood,-0.0147439917751849,0.0335021112382145,0.660470075258484
ANKMY2,GSE85307_blood,0.0414945104368661,0.047674110717232,0.385409200225891
OR4F16,GSE85307_blood,-0.104671014887458,0.0723079101869987,0.14971022333289
PAAF1,GSE85307_blood,-0.00171233550493505,0.0235783796814274,0.942197535434837
ELL3,GSE85307_blood,0.0404933124277746,0.0164217666856966,0.0147344607151307
SMG8,GSE85307_blood,-0.0358983805344414,0.0250844394911936,0.154368635840447
ALG14,GSE85307_blood,-0.0352757260197858,0.0277471556093278,0.205473472053922
MYO1A,GSE85307_blood,0.0103562375586748,0.0202277049683344,0.609375219943063
