region_id,n_cpg,pooled_z,delta_57767,delta_73375,delta_75196,delta_beta,direction,beta_pe,beta_ctrl,symbol,delta_tissue_mean
25460,11,0.03479155742587556,-0.002224521422915776,-0.0007651610591049674,0.002217806653409112,0.113009761526867,hyper,0.409115639692107,0.296105878165241,RAD51-AS1,-0.0002572919428705437
26198,9,0.2582057377666292,0.009028158431210338,-0.004784336058135533,0.004966205923611133,0.129729790928752,hyper,0.39899224984504,0.269262458916287,YPEL3-DT,0.003070009432228646
26358,7,-0.035996680553865026,-0.004254325447662929,-0.007548363202123042,0.004159847580357123,0.21556026233436,hyper,0.510639742228547,0.295079479894187,POLR2C,-0.002547613689809616
27285,15,0.021819317725839872,-7.249046494622012e-05,-0.0033126451312693356,-0.0001735932416666447,0.101857145051074,hyper,0.40434065627762,0.302483511226546,SRR,-0.0011862429459607335
27412,14,0.6944522760258897,-0.012355227876526915,0.062443457774491395,0.02500568749553574,-0.11366139903645,hypo,0.401974449916305,0.515635848952755,LINC00670,0.025031305797833404
27720,12,0.009839778118659926,-0.00028945815656388217,-0.0025842182719298256,-0.0011815276979166695,0.119824459194859,hyper,0.499687950950878,0.37986349175602,TMUB2,-0.0013517347088034591
27908,9,-0.09904445136041735,-0.00820722888179922,0.006079364162366661,-0.0032351729305555685,0.111840295538629,hyper,0.384691095521113,0.272850799982484,NOL11,-0.001787679216662709
28364,8,-0.018798138092448357,-0.002962790929634855,0.011581991640866818,-0.008229512312499979,-0.139976928055455,hypo,0.657813994356177,0.797790922411632,SEBOX,0.00012989613291066135
30739,5,0.08487988855364609,-0.00040571379216590637,0.0010782216637771093,0.002130420975000011,0.106874320749611,hyper,0.521571000457406,0.414696679707795,LOC105372255,0.0009343096155370713
30748,4,-0.4637136822736631,-0.011303879032258074,-0.014957893653250745,-0.012176379359375086,-0.108087854197687,hypo,0.346856739514415,0.454944593712102,SLC25A41,-0.012812717348294636
31006,1,0.6359982323340548,0.0011171007373272368,-0.025641717213622267,0.0562135385625,0.122974789328051,hyper,0.233080516019533,0.110105726691482,LINC01224,0.01056297402873499
31435,4,0.29179575085135534,-0.01623045011520738,0.053559419582043286,0.006918382624999955,-0.169782981562633,hypo,0.576250334080058,0.746033315642691,LOC105372460,0.014749117363945288
31774,3,-1.0865536312419888,-0.02447432995391713,-0.025365992156862766,-0.032111942166666706,-0.103987066223274,hypo,0.658759800440773,0.762746866664047,LBP,-0.02731742142581553
31975,3,0.0786345678892253,-0.0010288263087557808,0.0024889099133126803,0.0016862926666666746,0.134947340294067,hyper,0.35707702869749,0.222129688403423,RPS21,0.001048792090407858
32352,2,-0.4500292490380623,-0.0060471804147465,-0.015472700773993764,-0.018271106718750096,-0.175138920049009,hypo,0.39857229677763,0.573711216826639,SPATA25,-0.01326366263583012
33406,5,-0.41297197287924226,-0.006005547972350267,-0.02837181152390784,-0.007694251549999964,0.134663784882171,hyper,0.737895197732891,0.60323141285072,PI4KAP1,-0.014023870348752689
35264,12,0.15280898468692555,-0.0001544501624092916,0.01275293746775026,-0.000534418244791665,0.10136539684009,hyper,0.392252428762267,0.290887031922178,UBE4B,0.004021356353516434
36931,8,0.30415236722310524,0.008887996025345629,-0.005262629442724475,0.008771026156249988,0.20962834769094,hyper,0.568884477004213,0.359256129313273,LOC101928626,0.004132130912957047
37915,9,-0.21622205112358572,-0.009049143343574033,-0.017137968421052672,0.0038373097430555664,-0.111594476680604,hypo,0.305609133373778,0.417203610054382,THEM5,-0.0074499340071903794
38022,3,0.5309577966514181,0.004729996927803404,0.014023025902992777,0.01906655543750004,0.116509212285689,hyper,0.417767370581633,0.301258158295944,LOC105371456,0.012606526089432074
38071,6,-0.39807702633697367,-0.008455350268817108,-0.05452803988648095,0.012976852697916616,0.113575752673324,hyper,0.334088152344731,0.220512399671407,CD48,-0.016668845819127146
38086,10,0.18872525134325638,0.00537838855760367,-0.002641167953869969,0.003771470256250003,0.127971940547265,hyper,0.537326581402535,0.40935464085527,B4GALT3,0.002169563619994568
41613,17,0.08743781883050676,0.0005104857552634,0.0021945248985612816,0.0003360046654411771,0.113883083878928,hyper,0.470026946912275,0.356143863033347,LOC105374010,0.0010136717730886197
42116,9,-0.0028931148075432536,-0.002066902008173521,0.0002943046341588815,-0.001374813541666663,0.103899815540066,hyper,0.433030167086618,0.329130351546552,TMEM44-AS1,-0.0010491369718937675
46471,14,0.09362372711755472,0.0008109070344524916,0.007001542156125604,-0.002608821977678575,0.107614197194624,hyper,0.354595643320575,0.246981446125951,LOC105374911,0.0017345424042998403
47283,1,-0.2033064897390046,0.0007391036866362111,-0.02003603498452,-0.0072197772499998925,0.1276404842213,hyper,0.604340909200649,0.476700424979349,LOC107986676,-0.008838902849294561
49802,6,-0.5906509501499086,-0.011604517703533046,-0.010189499329205301,-0.023848010135416747,-0.114262538590628,hypo,0.439082177674522,0.55334471626515,MIR3907,-0.015214009056051697
51775,7,0.1399640544305562,-0.0001590570153390278,-0.003676797747899158,0.008689981785714295,0.111460880115084,hyper,0.431055874473882,0.319594994358798,NUP214,0.0016180423408253698
52982,1,-0.6873065671078447,-0.01662528755760373,-0.008540218092105367,-0.02476708256249993,0.100818885224743,hyper,0.328341145913296,0.227522260688553,HNRNPH3,-0.016644196070736344
56107,11,0.06583295403107879,0.000535631701057002,-0.002596536495918934,0.0017011957499999896,0.101583997421935,hyper,0.359982342292133,0.258398344870198,NFRKB,-0.00011990301495398081
57400,6,0.6663191533500189,0.0018088789093701912,0.014949066716718279,0.03236444829166666,0.14479742803152,hyper,0.51469690351051,0.36989947547899,LOC124902940,0.016374131305918378
58104,6,0.9281860290225789,0.008947144681259586,0.05604109647058823,0.015823968062500002,-0.107283300012923,hypo,0.395499580386301,0.502782880399224,OLFM4,0.026937403071449272
58964,7,0.20470991408098968,0.0025129252606978275,0.0012406862494471506,0.0065603695357142906,0.102298982685001,hyper,0.435921742988045,0.333622760303043,PSMC6,0.0034379936819530893
59865,1,-2.098398379055409,-0.08031661963133674,-0.0215157027863776,-0.028830864500000053,0.13898059444033,hyper,0.546586463933504,0.407605869493174,LOC124903388,-0.04355439563923813
59878,1,0.31300660584784074,0.006982904608295204,-0.02421908482972146,0.02379474112500002,-0.167052880016234,hypo,0.509164865432519,0.676217745448752,LOC112268130,0.0021861869678579207
60662,12,-0.14092680313255687,-0.004627723152413411,-0.006376156268317844,-0.0036025818906249784,0.10366311231423,hyper,0.411133213977522,0.307470101663292,ELL3,-0.004868820437118744
61706,1,-0.8359877223871798,-0.023473040092165887,0.05101818346749226,-0.06261873062500006,-0.157191658246287,hypo,0.514534792787698,0.671726451033985,LINC02139,-0.011691195749891229
61757,4,-0.1365443213118967,0.00040594660138246197,-0.013975609442724357,-0.005679815984375003,-0.162507267434356,hypo,0.389530274135142,0.552037541569498,LOC100287036,-0.006416492941905633
62596,18,-0.04851870763333716,-0.002397068975422438,0.0013442376981424161,-0.004847414756944426,0.107092122653869,hyper,0.399630770366787,0.292538647712918,UBB,-0.001966748678074816
62784,13,0.14117927321035262,0.0024976848571428498,-0.003916860905929968,0.00518630522596154,0.10819391485631,hyper,0.467482329960914,0.359288415104605,MIR4727,0.0012557097257248073
63782,9,-0.3703887550801341,-0.01124915816889206,-0.003390414000687995,-0.012667614430555564,-0.132460365641369,hypo,0.54591473104599,0.678375096687359,PRR15L,-0.00910239553337854
63788,4,-0.6794063311920695,0.0038178444124423727,-0.06921924775541802,-0.015508434984374986,0.143881019503913,hyper,0.467144675053844,0.323263655549931,MIR1203,-0.026969946109116877
66533,6,0.17032921692697808,-0.0100237415514594,0.06632435041279665,-0.018455433020833318,-0.160263715043127,hypo,0.547186677701384,0.70745039274451,KLK14,0.012615058613501309
66708,13,-0.026973585777345585,-0.0032092797606640662,-0.004824801578709211,0.0016578008942307702,0.111985801401688,hyper,0.482599612983733,0.370613811582045,IDH3B-DT,-0.0021254268150475027
66761,18,0.07249494606807715,-0.0001762706861239198,0.002841462197798405,-0.00017398877777777844,0.113342164148886,hyper,0.555512821450517,0.442170657301631,SLX4IP,0.0008304009112989024
67054,6,-0.4210823269675454,-0.00621460222734251,-0.017944729566563494,-0.014422450760416686,-0.121060043642021,hypo,0.729006491075249,0.85006653471727,MIR645,-0.012860594184774228
69721,6,0.9304676406896899,0.028039150768049203,0.036279403250774,0.0013165645312499437,-0.140234310974797,hypo,0.693015838911955,0.833250149886752,SSX5,0.02187837285002438
70418,13,0.18969910978461463,0.002121259144629572,0.0018379343000714465,0.005660803211538464,0.189353467307625,hyper,0.586329276992639,0.396975809685014,,0.003206665552079827
71018,7,0.1665134008190036,0.004494482462146147,-0.001677454246793451,0.002819382875000002,0.142462090839967,hyper,0.554593827101284,0.412131736261317,,0.0018788036967842328
73693,9,0.2074702769970547,0.001713490303792973,0.0036379672741658022,0.006404498993055553,0.103413308505491,hyper,0.274906332652344,0.171493024146853,,0.003918652190338109
81182,15,0.21491527925120926,0.0013630336757808512,0.002130536469212249,0.008365188054166667,0.120998269888619,hyper,0.257219181834817,0.136220911946198,,0.003952919399719922
81213,5,-0.02233662476999345,0.008591908525345665,-0.015590766048916443,-0.007971673162500015,0.120930927427941,hyper,0.245429635046098,0.124498707618157,,-0.004990176895356931
81229,14,-0.16208994841823937,0.00032962819947333737,-0.01833572186222911,-0.004721965424107148,0.115354698583977,hyper,0.21945781515561,0.104103116571633,,-0.007576019695620974
83412,9,-0.4223153089289686,-0.005697655241508793,-0.041082471069831476,-0.0009534811458332929,-0.147912625439852,hypo,0.479825005437397,0.627737630877249,,-0.015911202485724522
84604,10,0.1560831241506964,0.0004345959883998218,0.0016665708758514034,0.005717336224999994,-0.13923543991367,hypo,0.249477207970803,0.388712647884473,,0.002606167696417073
86046,12,-0.014273320625274033,-0.001322922025121541,-0.00790070483281735,0.001817297567708318,0.108145997080737,hyper,0.584648724958402,0.476502727877665,,-0.0024687764300768576
88335,1,-0.1929002858895209,-0.010782087788018438,0.014331910061919528,-0.011472079562499987,0.109685123055309,hyper,0.666604800017977,0.556919676962668,,-0.0026407524295329657
89338,6,-0.22597528539818168,-0.013815907734255055,0.02807889760577913,-0.018073691552083337,-0.139827166828499,hypo,0.281538249692124,0.421365416520623,,-0.0012702338935197538
89961,15,0.12034312702764034,0.0008271148168805462,0.006424624291228076,-0.00034927421250000035,0.105876279909758,hyper,0.38762292193565,0.281746642025892,,0.0023008216318695404
91132,7,-0.1958122383463647,-0.001118420291571726,0.019282888736842103,-0.028340881232142852,0.111490117834887,hyper,0.534726000748773,0.423235882913885,,-0.003392137595624159
93132,1,1.1069172813629988,0.01602971336405523,0.0477899653250774,0.02383372918750004,-0.136310236100049,hypo,0.234575080954579,0.370885317054628,,0.029217802625544225
95458,2,0.16283932931640732,0.009767029838709612,-0.03451237244582028,0.015405769156249943,-0.149866405898836,hypo,0.38123447875417,0.531100884653006,,-0.003113191150286909
97752,1,-0.4289687992693361,-0.0123895299539174,-0.038877480804953346,0.006624643250000006,0.197269388692065,hyper,0.44786595482051,0.250596566128445,,-0.01488078916962358
98401,14,0.0009071770797969321,-0.0028339835570550817,0.006845575844758956,-0.004065972821428564,0.102712554476292,hyper,0.317195776332167,0.214483221855875,,-1.812684457489667e-05
99751,6,0.1817576943931467,0.0008320492281105966,0.006114190701754387,0.004262739614583337,0.110757286098507,hyper,0.484109944967459,0.373352658868952,,0.0037363265148161067
99952,3,0.1876190850770052,0.010361330161290335,0.002902757471620212,-0.006744889520833343,-0.124557753556198,hypo,0.270559148631244,0.395116902187442,,0.002173066037359068
100469,1,-0.6863742359959519,0.010770880875576094,-0.1409386321981423,0.01848280474999975,0.134312645388964,hyper,0.284817668378476,0.150505022989511,,-0.037228315524188815
100550,10,-0.3574344502231735,-0.02652758729261138,0.016594289726625407,-0.002567364006249989,0.126938007165419,hyper,0.358971128691945,0.232033121526525,,-0.004166887190745321
102983,1,0.24653921688016586,-0.010372852741935501,0.05501147464396286,-0.005485476874999978,-0.100052677581304,hypo,0.509038101351409,0.609090778932713,,0.01305104834234246
104598,2,0.42432159890448595,0.010197698701465214,0.007958266733746125,0.007427674750000005,0.121873187372725,hyper,0.412445053540418,0.290571866167693,,0.008527880061737115
104782,22,0.05363565902599168,8.372914610390039e-05,-0.00333242399817056,0.0019123291420454476,0.100950206826913,hyper,0.328438819020499,0.227488612193586,,-0.00044545523667373723
105240,1,-1.266720413428242,-0.01661701221198153,-0.06848463560371515,-0.029537595249999937,0.121961476936806,hyper,0.343738094416548,0.221776617479742,,-0.038213081021898875
105670,11,0.171680572112884,0.002412151789833813,0.002131272079844498,0.003771315039772728,0.104647285137741,hyper,0.449540956926018,0.344893671788277,,0.0027715796364836797
105675,3,-1.4443585645493853,-0.014712226799795189,-0.05198381429308569,-0.05521215281249995,0.106298116333453,hyper,0.254358916342822,0.148060800009369,,-0.040636064635126944
105900,1,-1.1995152672005756,-0.011531073732718888,-0.07255613962848295,-0.02933779056249991,-0.131337177121248,hypo,0.391150359515402,0.52248753663665,,-0.03780833464123392
106528,16,-0.1849522462583219,-0.008314251915832207,-0.011699205613583641,0.0016991629570312517,0.101939790675457,hyper,0.548314520592544,0.446374729917087,,-0.006104764857461534
