bin,set,NP_NP,Normal_1stT,Normal_2ndT,Normal_3rdT,Normal_delivery,PreX_1stT,PreX_2ndT,PreX_3rdT,PreX_delivery,GDM_1stT,GDM_2ndT,GDM_3rdT,GDM_delivery,cHTN_1stT,cHTN_2ndT,cHTN_3rdT,cHTN_delivery
2417,Placenta-HIGH,0.0476190476190476,0.0612244897959184,0.106227106227106,0.28,0.251396648044693,0.0252525252525253,0.0454545454545455,0.135416666666667,0.159183673469388,0.111675126903553,0.0886524822695036,0.278625954198473,0.369411764705882,0.19047619047619,0.363636363636364,0.157894736842105,0.294117647058824
2450,Placenta-HIGH,0.0246913580246914,0.0220588235294118,0.0431034482758621,0.168498168498169,0.151020408163265,0.0357142857142857,0.108108108108108,0.0392857142857143,0.0984251968503937,0.172248803827751,0.112280701754386,0.144654088050314,0.13,0.0666666666666667,0,0.0869565217391304,0.142857142857143
2458,Placenta-HIGH,0.336363636363636,0.323699421965318,0.566176470588235,0.459558823529412,0.343589743589744,0.338235294117647,0.377272727272727,0.424561403508772,0.367556468172485,0.541984732824428,0.340425531914894,0.551236749116608,0.521035598705502,0.576923076923077,0.440677966101695,0.514285714285714,0.527397260273973
2465,Placenta-HIGH,0.360824742268041,0.445205479452055,0.344827586206897,0.380165289256198,0.300884955752212,0.243243243243243,0.19327731092437,0.184615384615385,0.303370786516854,0.266666666666667,0.241935483870968,0.320987654320988,0.324324324324324,,,0.333333333333333,
2485,Placenta-HIGH,0.268939393939394,0.278688524590164,0.198412698412698,0.274193548387097,0.243119266055046,0.288732394366197,0.239583333333333,0.301324503311258,0.238615664845173,0.218487394957983,0.271929824561404,0.261306532663317,0.232876712328767,0.216666666666667,0.314285714285714,0.237113402061856,0.411764705882353
2489,Placenta-HIGH,0.0941422594142259,0.133333333333333,0.175287356321839,0.297229219143577,0.275204359673025,0.057649667405765,0.0744336569579288,0.267657992565056,0.257142857142857,0.247863247863248,0.164335664335664,0.251968503937008,0.223057644110276,0.208333333333333,0.463414634146342,0.283018867924528,0.157894736842105
2494,Placenta-HIGH,0.0857142857142857,0.0959752321981424,0.114705882352941,0.218068535825545,0.173584905660377,0.0660146699266504,0.105421686746988,0.222551928783383,0.203098106712565,0.110236220472441,0.190721649484536,0.261484098939929,0.251111111111111,0.0921052631578947,0.0128205128205128,0.284916201117318,0.398773006134969
2495,Placenta-HIGH,0.127551020408163,0.276422764227642,0.0966386554621849,0.195652173913043,0.284023668639053,0.115044247787611,0.132275132275132,0.290969899665552,0.19205298013245,0.159420289855072,0.17910447761194,0.581730769230769,0.402476780185759,0.171428571428571,0.108108108108108,0,0.366666666666667
2496,Placenta-HIGH,0.168316831683168,0.193965517241379,0.113445378151261,0.322295805739514,0.201413427561837,0.235521235521236,0.252873563218391,0.196666666666667,0.24914089347079,0.290697674418605,0.209439528023599,0.210826210826211,0.36078431372549,0.0612244897959184,0.166666666666667,0.358208955223881,0.253012048192771
2497,Placenta-HIGH,0.174641148325359,0.255737704918033,0.187096774193548,0.332369942196532,0.350553505535055,0.191881918819188,0.151079136690647,0.237373737373737,0.228456913827655,0.225806451612903,0.281456953642384,0.272727272727273,0.426997245179063,0.0714285714285714,0.134146341463415,0.191780821917808,0.237113402061856
2505,Placenta-HIGH,0.0384615384615385,0.00680272108843537,0.0543933054393306,0.174216027874564,0.232198142414861,0.0471380471380471,0.125541125541126,0.223728813559322,0.101933216168717,0.00581395348837209,0.172,0.175531914893617,0.304918032786885,0,0.136363636363636,,0.456521739130435
2510,T-cells,0.0175438596491228,0.0943396226415094,0.0569620253164557,0.0431654676258993,0.0123456790123457,0.129411764705882,0,0.0147058823529412,0.0184049079754601,0.0357142857142857,0.0135135135135135,0.0112359550561798,0.0239043824701195,0.0263157894736842,,,0
2529,Neutrophils,0.853881278538813,0.706293706293706,0.760180995475113,0.767857142857143,0.765,0.67027027027027,0.808219178082192,0.76,0.793604651162791,0.707482993197279,0.804,0.846153846153846,0.750750750750751,0.694444444444445,,0.910714285714286,0.734177215189873
