motif_id,tf,cand_hit,cand_n,hypo_hit,hypo_n,hyper_hit,hyper_n,bg_hit,bg_n,or,p_fisher,p_bh
MA1963.2,SATB1,65,166,20,61,45,105,950,2458,1.021573736321,0.934418791763715,1
MA2332.1,ZNF175,65,166,22,61,43,105,977,2458,0.975556614003263,0.934738660206387,1
MA0039.3,KLF4,65,166,31,61,34,105,975,2458,0.978877887788779,0.934769154084812,1
MA1641.2,MYF5,65,166,26,61,39,105,975,2458,0.978877887788779,0.934769154084812,1
MA0766.2,GATA5,100,166,34,61,66,105,1467,2458,1.02352771064428,0.934909451050159,1
MA0685.2,SP4,98,166,30,61,68,105,1459,2458,0.986795952102568,0.935118203420283,1
MA2566.1,ZNF395,95,166,30,61,65,105,1420,2458,0.978079746082127,0.9353393207049,1
MA0476.2,FOS,72,166,30,61,42,105,1054,2458,1.02030764261779,0.935484140050235,1
MA1593.2,ZNF317,72,166,26,61,46,105,1054,2458,1.02030764261779,0.935484140050235,1
MA0056.3,MZF1,73,166,30,61,43,105,1093,2458,0.980285098722073,0.935779784415974,1
MA0661.1,MEOX1,74,166,24,61,50,105,1107,2458,0.981638584501787,0.935881524806304,1
MA0018.2,CREB1,89,166,31,61,58,105,1303,2458,1.02455871066769,0.935998981730194,1
MA0479.2,FOXH1,80,166,26,61,54,105,1171,2458,1.02238198319862,0.936054586290016,1
MA1567.1,TBX6,78,166,30,61,48,105,1167,2458,0.980544519747605,0.936084140556204,1
MA2504.1,BCL11A,81,166,23,61,58,105,1212,2458,0.979673849737915,0.93614062640581,1
MA0635.1,BARHL2,81,166,24,61,57,105,1210,2458,0.982868254739912,0.936195621951641,1
MA1101.3,BACH2,5,166,1,61,4,105,76,2458,0.973357306309251,1,1
MA0818.1,BHLHE22,14,166,7,61,7,105,208,2458,0.996330971659919,1,1
MA0839.1,CREB3L1,0,166,0,61,0,105,3,2458,0,1,1
MA1475.1,CREB3L4,3,166,0,61,3,105,52,2458,0.85158093440302,1,1
MA0884.2,DUXA,7,166,2,61,5,105,114,2458,0.905219022398764,1,1
MA1933.2,ELK1::SREBF2,0,166,0,61,0,105,3,2458,0,1,1
MA0112.1,ESR1,0,166,0,61,0,105,3,2458,0,1,1
MA1941.2,ETV2::FIGLA,1,166,1,61,0,105,19,2458,0.77799043062201,1,1
MA1145.1,FOSL2::JUND,2,166,0,61,2,105,32,2458,0.924542682926829,1,1
MA0148.4,FOXA1,32,166,9,61,23,105,481,2458,0.98153722034319,1,1
MA1487.2,FOXE1,13,166,1,61,12,105,198,2458,0.969829009044695,1,1
MA0848.1,FOXO4,140,166,48,61,92,105,2062,2458,1.03409684399015,1,1
MA1494.2,HNF4A,0,166,0,61,0,105,6,2458,0,1,1
MA0657.1,KLF13,0,166,0,61,0,105,3,2458,0,1,1
MA0657.2,KLF13,0,166,0,61,0,105,3,2458,0,1,1
MA1514.1,KLF17,1,166,0,61,1,105,19,2458,0.77799043062201,1,1
MA1515.1,KLF2,111,166,40,61,71,105,1649,2458,0.990120734329346,1,1
MA1107.2,KLF9,3,166,1,61,2,105,47,2458,0.944132619762433,1,1
MA0700.3,LHX2,121,166,34,61,87,105,1788,2458,1.00758140691027,1,1
MA0495.1,MAFF,0,166,0,61,0,105,6,2458,0,1,1
MA2598.1,MSANTD1,5,166,1,61,4,105,80,2458,0.923136645962733,1,1
MA0623.2,NEUROG1,15,166,8,61,7,105,221,2458,1.00551376944053,1,1
MA0841.2,NFE2,5,166,1,61,4,105,85,2458,0.867007672634271,1,1
MA0105.4,NFKB1,0,166,0,61,0,105,6,2458,0,1,1
MA1533.1,NR1I2,0,166,0,61,0,105,3,2458,0,1,1
MA1539.1,NR2F6,0,166,0,61,0,105,3,2458,0,1,1
MA1147.1,NR4A2::RXRA,0,166,0,61,0,105,6,2458,0,1,1
MA0784.1,POU1F1,2,166,1,61,1,105,42,2458,0.70150987224158,1,1
MA0683.1,POU4F2,0,166,0,61,0,105,6,2458,0,1,1
MA0791.1,POU4F3,1,166,0,61,1,105,16,2458,0.925,1,1
MA1553.1,RARG,0,166,0,61,0,105,6,2458,0,1,1
MA1553.2,RARG,0,166,0,61,0,105,6,2458,0,1,1
MA0138.3,REST,0,166,0,61,0,105,3,2458,0,1,1
MA0509.3,RFX1,0,166,0,61,0,105,6,2458,0,1,1
MA0798.3,RFX3,0,166,0,61,0,105,6,2458,0,1,1
MA0074.1,RXRA::VDR,0,166,0,61,0,105,3,2458,0,1,1
MA0856.1,RXRG,0,166,0,61,0,105,6,2458,0,1,1
MA2684.1,SOX30,109,166,41,61,68,105,1606,2458,1.01448515435538,1,1
MA0081.2,SPIB,3,166,0,61,3,105,47,2458,0.944132619762433,1,1
MA0083.3,SRF,0,166,0,61,0,105,3,2458,0,1,1
MA1568.1,TCF21,5,166,2,61,3,105,82,2458,0.899863657021663,1,1
MA1569.1,TFAP2E,64,166,20,61,44,105,956,2458,0.985806875051276,1,1
MA0796.1,TGIF1,0,166,0,61,0,105,6,2458,0,1,1
MA1969.1,THRA,0,166,0,61,0,105,3,2458,0,1,1
MA2601.1,USF3,9,166,4,61,5,105,142,2458,0.934960078945008,1,1
MA2489.1,ZFP28,0,166,0,61,0,105,3,2458,0,1,1
MA0696.1,ZIC1,0,166,0,61,0,105,3,2458,0,1,1
MA0697.1,ZIC3,0,166,0,61,0,105,3,2458,0,1,1
